Date,Open,High,Low,Close,Adj Close,Volume
2020-04-30,16.780001,16.830000,14.550000,15.020000,14.792207,653000
2020-05-01,14.700000,15.070000,14.600000,14.810000,14.585393,153600
2020-05-04,14.600000,15.040000,14.240000,14.770000,14.546000,187000
2020-05-05,15.100000,15.440000,14.660000,14.770000,14.546000,190800
2020-05-06,15.000000,15.320000,14.880000,15.010000,14.782358,201600
2020-05-07,15.280000,15.390000,14.930000,15.270000,15.038416,179100
2020-05-08,15.600000,15.980000,15.300000,15.860000,15.696562,128000
2020-05-11,15.980000,16.020000,15.470000,15.840000,15.676769,170900
2020-05-12,15.830000,15.880000,15.480000,15.500000,15.340272,165900
2020-05-13,15.360000,15.500000,14.260000,14.470000,14.320887,491200
2020-05-14,14.110000,14.320000,13.840000,14.270000,14.122948,194100
2020-05-15,14.240000,14.450000,14.110000,14.380000,14.231814,107100
2020-05-18,14.950000,15.520000,14.780000,15.320000,15.162127,138400
2020-05-19,15.400000,16.389999,15.270000,15.790000,15.627283,286800
2020-05-20,17.360001,19.980000,17.299999,19.270000,19.071423,646800
2020-05-21,19.200001,19.219999,18.330000,18.600000,18.408327,267000
2020-05-22,18.730000,18.969999,18.230000,18.490000,18.299459,155600
2020-05-26,19.070000,19.290001,18.430000,18.459999,18.269768,148500
2020-05-27,18.490000,19.160000,17.959999,18.940001,18.744823,121100
2020-05-28,19.150000,19.320000,18.400000,18.520000,18.329151,119400
2020-05-29,18.260000,18.780001,18.139999,18.719999,18.527088,178500
2020-06-01,18.920000,18.930000,18.350000,18.370001,18.180698,178300
2020-06-02,18.370001,18.910000,18.320000,18.670000,18.477606,199600
2020-06-03,19.090000,20.090000,19.040001,19.920000,19.714724,213900
2020-06-04,19.900000,19.900000,19.000000,19.299999,19.101112,140100
2020-06-05,19.600000,20.020000,19.540001,19.799999,19.595961,156500
2020-06-08,20.170000,20.990000,19.959999,20.889999,20.674728,146700
2020-06-09,20.510000,20.629999,19.670000,20.240000,20.031427,178100
2020-06-10,20.389999,20.840000,19.600000,19.670000,19.467300,119100
2020-06-11,18.990000,19.080000,18.280001,18.370001,18.180698,202800
2020-06-12,19.080000,19.100000,18.080000,18.740000,18.546885,163300
2020-06-15,18.330000,19.420000,18.209999,19.120001,18.922968,141200
2020-06-16,19.500000,19.629999,18.790001,19.459999,19.259462,167000
2020-06-17,19.450001,19.450001,18.820000,18.990000,18.794308,99000
2020-06-18,18.830000,19.280001,18.830000,19.170000,18.972452,156000
2020-06-19,19.360001,19.389999,18.660000,19.120001,18.922968,213100
2020-06-22,19.260000,19.260000,18.540001,18.980000,18.784412,203100
2020-06-23,19.219999,19.219999,18.639999,18.670000,18.477606,91900
2020-06-24,18.480000,18.540001,18.080000,18.110001,17.923376,160700
2020-06-25,18.059999,18.059999,17.670000,18.020000,17.834303,127300
2020-06-26,17.799999,17.900000,17.430000,17.770000,17.586880,229100
2020-06-29,18.010000,18.450001,17.809999,18.250000,18.061934,140300
2020-06-30,18.090000,18.730000,17.969999,18.120001,17.933275,181500
2020-07-01,18.139999,18.209999,17.629999,17.820000,17.636364,133300
2020-07-02,18.180000,18.350000,17.570000,17.660000,17.478012,91400
2020-07-06,18.150000,18.150000,17.580000,17.920000,17.735334,126800
2020-07-07,17.670000,18.000000,17.469999,17.850000,17.666056,198400
2020-07-08,17.820000,17.820000,17.400000,17.600000,17.418633,186400
2020-07-09,17.490000,17.570000,16.740000,17.110001,16.933681,175700
2020-07-10,17.080000,17.580000,17.080000,17.570000,17.388939,83000
2020-07-13,17.879999,18.389999,17.750000,17.850000,17.666056,172900
2020-07-14,17.940001,18.180000,17.750000,18.080000,17.893684,97000
2020-07-15,18.340000,18.980000,18.340000,18.730000,18.536987,151700
2020-07-16,18.650000,19.030001,18.469999,18.950001,18.754723,124100
2020-07-17,18.959999,19.049999,18.459999,18.559999,18.368738,90400
2020-07-20,18.389999,18.430000,17.790001,18.080000,17.893684,130500
